id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,preexp,minority
1,m,2/3/1952,15,3,"$57,000.00 ","$27,000.00 ",98,144,0
2,m,5/23/1958,16,1,"$40,200.00 ","$18,750.00 ",98,36,0
3,f,7/26/1929,12,1,"$21,450.00 ","$12,000.00 ",98,381,0
4,f,4/15/1947,8,1,"$21,900.00 ","$13,200.00 ",98,190,0
5,m,2/9/1955,15,1,"$45,000.00 ","$21,000.00 ",98,138,0
6,,8/22/1958,15,1,"$32,100.00 ","$13,500.00 ",98,67,0
7,m,4/26/1956,15,1,"$36,000.00 ","$18,750.00 ",98,114,0
8,f,5/6/1966,12,1,"$21,900.00 ","$9,750.00 ",98,0,0
9,f,1/23/1946,15,,"$27,900.00 ","$12,750.00 ",98,115,0
10,f,2/13/1946,12,1,"$24,000.00 ","$13,500.00 ",98,244,0
11,f,2/7/1950,16,1,"$30,300.00 ","$16,500.00 ",98,143,0
12,m,1/11/1966,8,1,"$28,350.00 ","$12,000.00 ",98,26,1
13,m,7/17/1960,15,1,"$27,750.00 ","$14,250.00 ",98,34,1
14,f,2/26/1949,15,1,"$35,100.00 ","$16,800.00 ",98,137,1
15,m,8/29/1962,12,1,"$27,300.00 ","$13,500.00 ",97,66,0
16,m,11/17/1964,12,1,"$40,800.00 ","$15,000.00 ",97,24,0
17,m,7/18/1962,15,1,"$46,000.00 ","$14,250.00 ",97,48,0
18,m,3/20/1956,16,3,"$103,750.00 ","$27,510.00 ",97,70,0
19,m,8/19/1962,12,1,"$42,300.00 ","$14,250.00 ",97,103,0
20,f,1/23/1940,12,1,"$26,250.00 ","$11,550.00 ",97,48,0
21,f,2/19/1963,16,1,"$38,850.00 ","$15,000.00 ",97,17,0
22,m,9/24/1940,12,1,"$21,750.00 ","$12,750.00 ",97,315,1
23,f,3/15/1965,15,1,"$24,000.00 ","$11,100.00 ",97,75,1
24,f,3/27/1933,12,1,"$16,950.00 ","$9,000.00 ",97,124,1
25,f,7/1/1942,15,1,"$21,150.00 ","$9,000.00 ",97,171,1
26,m,11/8/1966,15,1,"$31,050.00 ","$12,600.00 ",96,14,0
27,m,3/19/1954,19,3,"$60,375.00 ","$27,480.00 ",96,96,0
28,m,4/11/1963,15,,"$32,550.00 ","$14,250.00 ",96,43,0
29,m,1/28/1944,19,3,"$135,000.00 ","$79,980.00 ",96,199,0
30,m,9/17/1961,15,1,"$31,200.00 ","$14,250.00 ",96,54,0
31,m,2/24/1964,12,1,"$36,150.00 ","$14,250.00 ",96,83,0
32,m,1/28/1954,19,3,"$110,625.00 ","$45,000.00 ",96,120,0
33,m,3/18/1961,15,1,"$42,000.00 ","$15,000.00 ",96,68,0
34,m,2/2/1949,19,3,"$92,000.00 ","$39,990.00 ",96,175,0
35,m,8/22/1961,17,3,"$81,250.00 ","$30,000.00 ",96,18,0
36,f,8/7/1963,8,1,"$31,350.00 ","$11,250.00 ",96,52,0
37,m,10/9/1954,12,1,"$29,100.00 ","$13,500.00 ",96,113,1
38,m,4/27/1962,15,1,"$31,350.00 ","$15,000.00 ",96,49,1
39,m,6/22/1960,16,1,"$36,000.00 ","$15,000.00 ",96,46,1
40,f,8/28/1933,15,1,"$19,200.00 ","$9,000.00 ",96,23,1
41,f,3/18/1961,12,1,"$23,550.00 ","$11,550.00 ",96,52,1
42,m,9/23/1960,15,1,"$35,100.00 ","$16,500.00 ",95,90,0
43,m,1/18/1964,12,1,"$23,250.00 ","$14,250.00 ",95,46,0
44,m,6/15/1963,8,1,"$29,250.00 ","$14,250.00 ",95,50,0
45,m,8/2/1938,12,2,"$30,750.00 ","$13,500.00 ",95,307,0
46,f,11/18/1940,15,1,"$22,350.00 ","$12,750.00 ",95,165,0
47,f,4/28/1938,12,1,"$30,000.00 ","$16,500.00 ",95,228,0
48,m,6/7/1947,12,2,"$30,750.00 ","$14,100.00 ",94,240,0
49,m,9/16/1958,15,1,"$34,800.00 ","$16,500.00 ",94,93,0
50,m,2/9/1960,16,3,"$60,000.00 ","$23,730.00 ",94,59,0
51,m,7/8/1962,12,1,"$35,550.00 ","$15,000.00 ",94,48,0
52,m,11/12/1963,15,1,"$45,150.00 ","$15,000.00 ",94,40,0
53,m,4/21/1954,18,3,"$73,750.00 ","$26,250.00 ",94,56,0
54,m,6/4/1931,12,1,"$25,050.00 ","$13,500.00 ",94,444,0
55,m,6/25/1960,12,,"$27,000.00 ","$15,000.00 ",94,120,0
56,m,4/16/1962,15,1,"$26,850.00 ","$13,500.00 ",94,5,0
57,m,4/15/1963,15,1,"$33,900.00 ","$15,750.00 ",94,78,0
58,f,11/14/1964,15,1,"$26,400.00 ","$13,500.00 ",94,3,0
