Month,Sales,HighTemp,LowTemp
1,130.2,3.5,-3.2
2,137,6.9,0.8
3,171.4,11.5,2.9
4,178.5,13,4.7
5,211.9,16.9,8.6
6,227.4,19.9,10.3
7,253.8,22.7,13
8,254.6,22.1,13.2
9,152.5,19.4,11.5
10,177.2,13.9,7.1
11,161.8,8.8,0.8
12,179.3,8.6,3.1
13,156.8,3.7,-2.8
14,130.4,8.4,2.9
15,166.1,8.8,2.5
16,205.4,14.2,5.7
17,209.1,16,8.5
18,235.4,17.8,10.6
19,227.3,20.7,12.4
20,203.9,20.3,10.2
21,182.5,17.5,10.3
22,200.4,15,6.5
23,161,9.8,4.1
24,195.9,7.1,2.7
25,142.8,8.2,2.7
26,161.8,8.4,1.9
27,173.3,11.8,3.8
28,185.6,12.4,5
29,192.1,16,8.9
30,223.8,17.4,10.3
31,258.5,20.6,13.5
32,241.3,23.4,14.4
33,202.2,19,10.8
34,154.9,12.6,6.1
35,149.3,10.8,4.4
36,194.4,6.4,1.3
37,128.9,4.3,-0.5
38,150.7,7,1.4
39,173.4,9.3,1.6
40,187,11.8,3.5
41,214,16.4,7.8
42,252,21.2,12.2
43,239.2,20.8,13.2
44,231,20.7,12.9
45,158.5,18.7,10.5
46,161.9,13.7,6.7
47,155.2,7.7,0.7
48,175.2,6.9,1.3
49,139.2,9,3.5
50,141.8,9.5,3.2
51,195.9,11.8,4.5
52,196.4,13.4,5
53,192.6,17.9,9.4
54,220.9,19.1,11.4
55,200.8,20.5,12.7
56,242.7,21.8,13.6
57,165.2,17.5,9.4
58,174.4,13,5.9
59,159.5,9.9,5.2
60,167.9,3.8,-2.5
